Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W174            3464.2          3469.9          0.998357        105.964         0.794762        
W175    3466.02         3474.96         0.134777        0.997428        30.1431         2.64261         
W176    3467.7          3374.45         0.14367         1.02763         91.0668         2.72491         
W177    3469.25         3462.68         0.138089        1.0019          39.4185         0.69912         
W178    3470.65         3471.16         0.139367        0.999852        52.525          0.967482        
W179    3471.92         3484.37         0.14232         0.996427        38.8144         0.0335668       
W180    3473.04         3468.46         0.139033        1.00132         78.1358         2.81585         
W181    3474.03         3471.44         0.143432        1.00075         58.5037         1.58116         
W182    3474.88         3485.74         0.138287        0.996882        40.8982         1.1357          
W183    3475.58         3470.26         0.148525        1.00153         42.9331         0.591349        
W184    3476.15         3470.64         0.13823         1.00159         40.2785         1.69224         
W185    3476.57         3461.21         0.14189         1.00444         94.3034         0.569488        
W186    3476.85         3488.67         0.127176        0.996614        62.4971         0.602888        
W187    3476.99         3458.66         0.152048        1.0053          67.5959         1.44225         
W188    3476.99         3474.15         0.145395        1.00082         61.0681         2.4404          
W189    3476.85         3474.48         0.149379        1.00068         65.7738         0.768935        
W190    3476.57         3475.85         0.133002        1.00021         55.6678         1.73933         
W191    3476.15         3475.7          0.134935        1.00013         60.9717         0.448911        
W192    3475.58         3473.83         0.138762        1.0005          34.4625         0.749975        
W193    3474.88         3473.46         0.133848        1.00041         68.1528         2.73453         
W194    3474.03         3468.81         0.134746        1.0015          39.8043         3.11684         
W195    3473.04         3470.55         0.13723         1.00072         55.2077         0.726041        
W196    3471.92         3475.65         0.144123        0.998926        64.3676         1.65103         
W197    3470.65         3475.53         0.130811        0.998596        68.1661         1.54676         
W198    3469.25         3518.48         0.145926        0.986006        23.9967         0.579047        
W199    3467.7          3471.26         0.137192        0.998975        53.7546         3.25313         
W200            3466.02         3467.93         0.99945         132.043         1.72419         
W201            3464.2          3461.98         1.00064         63.6478         1.49983         
W202    3462.24         3497.78         0.140176        0.989839        73.9831         0.118783        
W203    3460.15         3497.94         0.139693        0.989196        40.8571         1.80749         
W204    3457.92         3551.92         0.145256        0.973536        70.2188         0.931356        
W205    3459.45         3653.75         0.155298        0.946823        82.0858         4.35581         
W206    3461.68         3495.04         0.138684        0.990456        42.6921         3.23637         
W207    3463.78         3469.89         0.136276        0.998239        38.4369         3.72623         
W208    3465.74         3441.71         0.134974        1.00698         58.6551         0.118013        
W209    3467.56         3471.57         0.126897        0.998843        60.9166         0.441745        
W210    3469.24         3456.47         0.154133        1.00369         144.599         0.735546        
W211    3470.79         3473            0.141489        0.999364        50.7652         2.74023         
W212    3472.2          3472.47         0.148767        0.999921        51.7625         0.800329        
W213    3473.46         3474.81         0.136157        0.999613        36.6333         0.632664        
W214    3474.59         3468.46         0.131807        1.00177         61.931          2.37797         
W215    3475.58         3450.61         0.156161        1.00724         76.0251         0.76859         
W216    3476.43         3476.93         0.13623         0.999855        94.0793         4.11376         
W217    3477.13         3476.29         0.127197        1.00024         48.0438         1.85703         
W218    3477.7          3477.85         0.129398        0.999956        65.7362         1.05453         
W219    3478.12         3492.75         0.148513        0.995811        83.333          3.68173         
W220    3478.41         3479.73         0.128242        0.999618        52.4055         0.924013        
W221    3478.55         3477.89         0.137817        1.00019         55.4995         3.04171         
W222    3478.55         3479.61         0.14402         0.999694        47.3426         1.96087         
W223    3478.41         3480.01         0.140032        0.999539        56.0359         1.59892         
W224    3478.12         3501.41         0.136654        0.993348        49.4326         3.73757         
W225    3477.7          3479.9          0.144745        0.999367        82.5743         1.68966         
W226    3477.13         3472.7          0.143633        1.00128         67.039          0.841769        
W227    3476.43         3470.85         0.148917        1.00161         53.9391         0.354595        
W228    3475.58         3471.86         0.137728        1.00107         48.2595         0.115046        
W229    3474.59         3476.36         0.146788        0.99949         72.7028         0.971781        
W230    3473.46         3481.72         0.148971        0.997629        38.3767         1.73012         
W231    3472.2          3471.52         0.142806        1.00019         54.1852         0.774764        
W232    3470.79         3494.59         0.145135        0.99319         42.5626         0.96885         
W233    3469.24         3457.03         0.152961        1.00353         46.3217         0.992407        
W234    3467.56         3478.51         0.129054        0.996851        50.0005         1.13361         
W235    3465.74         549080          0.12985         0.5             199.985         1.58059         
W236    3463.78         3534.67         0.131981        0.979945        77.0947         0.324344        
W237    3461.68         3507.8          0.131709        0.986852        79.7203         4.35989         
W238    3459.45         3776.14         0.184603        0.916135        43.9782         1.83819         
W239    3460.84         3737.38         0.138569        0.926008        60.3391         1.88375         
W240    3463.08         3593.85         0.130191        0.963611        40.6343         1.67219         
W241    3465.17         3518.46         0.138048        0.984855        14.8735         0.273208        
W242    3467.14         3452.79         0.140841        1.00415         52.1706         2.67383         
W243    3468.96         3453.52         0.144108        1.00447         102.172         2.14165         
W244    3470.65         3470.52         0.134298        1.00004         56.9568         2.16508         
W245    3472.19         3473.83         0.129533        0.999528        89.2            1.59611         
W246    3473.6          3476.5          0.13931         0.999166        53.4109         2.50973         
W247    3474.87         3478.58         0.137283        0.998934        72.7814         0.955431        
W248    3476            3470.21         0.151508        1.00167         59.2827         0.524475        
W249    3476.99         3474.4          0.148771        1.00074         68.1389         2.6861          
W250    3477.84         3478.27         0.141454        0.999875        53.9428         1.62572         
W251    3478.54         3486.89         0.143377        0.997606        26.9672         2.98235         
W252    3479.11         3465.16         0.137909        1.00403         109.291         2.60136         
W253    3479.53         3479.78         0.143717        0.999929        61.642          0.75148         
W254    3479.82         3480.06         0.149799        0.999931        57.9751         2.89895         
W255    3479.96         3479.37         0.148222        1.00017         58.9956         0.371363        
W256    3479.96         3471.71         0.138896        1.00238         77.9393         0.470802        
W257    3479.82         3488.07         0.142889        0.997636        51.1649         5.53688         
W258    3479.53         3478.94         0.152259        1.00017         63.5849         1.92648         
W259    3479.11         3477.79         0.15658         1.00038         66.671          0.550166        
W260    3478.54         3484.05         0.144218        0.998419        54.7821         0.86795         
W261    3477.84         3503.09         0.147294        0.99279         30.3024         0.604544        
W262    3476.99         3475.3          0.141246        1.00049         64.5123         0.21388         
